surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
55.0,La Soukra,1.0,1.0,0,0,0,0,1,1,0,180000.0
66.0,El Aouina,1.0,1.0,0,0,0,0,1,1,1,190000.0
106.0,El Menzah 8,2.0,1.0,1,0,0,0,0,1,0,150000.0
140.0,Le Kram,3.0,1.0,0,0,0,0,0,0,0,145000.0
66.0,El Menzah 9,1.0,1.0,1,0,0,0,1,1,1,230000.0
66.0,El Aouina,1.0,1.0,0,0,0,0,1,1,1,175000.0
166.0,Ain Zaghouan,2.0,2.0,1,1,0,0,1,1,1,632000.0
222.0,Sidi Thabet,1.0,1.0,0,0,0,0,0,0,0,210000.0
96.0,Cite Ennasr 2,3.0,1.0,1,0,0,0,0,0,0,325000.0
106.0,Le Bardo,2.0,1.0,0,0,0,0,0,0,0,260000.0
100.0,El Manar 1,4.0,1.0,1,0,0,0,0,1,0,280000.0
66.0,El Aouina,1.0,1.0,0,0,0,0,1,1,1,175000.0
168.0,La Soukra,3.0,2.0,1,0,0,0,1,1,0,327000.0
106.0,El Aouina,2.0,1.0,0,0,0,0,0,1,1,255000.0
106.0,El Aouina,2.0,1.0,0,0,0,0,0,1,1,250000.0
140.0,Jardins d'el Menzah,3.0,2.0,1,0,0,0,0,1,0,315000.0
140.0,La Mannouba,3.0,1.0,0,0,0,0,0,1,1,290000.0
46.0,Cite Ettahrir Sup.,1.0,1.0,0,0,0,0,0,0,0,65000.0
140.0,Bab El Jazira,3.0,2.0,0,0,0,0,0,0,0,190000.0
50.0,Bab Bhar,1.0,1.0,0,0,0,0,0,0,0,110000.0
140.0,El Aouina,3.0,2.0,1,0,0,0,0,1,1,470000.0
166.0,Ain Zaghouan,2.0,2.0,1,1,0,0,1,1,1,630000.0
118.0,El Aouina,2.0,1.0,1,0,0,0,0,1,1,297000.0
140.0,El Manar 1,3.0,2.0,0,0,0,0,0,0,0,265000.0
66.0,El Aouina,1.0,1.0,0,0,0,0,1,1,1,145000.0
140.0,Gammart,3.0,4.0,1,0,0,1,1,1,0,1250000.0
110.0,Cite Oplympique,3.0,1.0,0,0,0,0,0,0,0,255000.0
