category,room_count,bathroom_count,size,type,price,city,region,log_price
Appartements,2.0,1.0,120.0,À Vendre,100000.0,Ariana,La Soukra,5.0
Appartements,3.0,1.0,128.0,À Vendre,240000.0,Ariana,La Soukra,5.380211241711606
Appartements,3.0,2.0,170.0,À Vendre,350000.0,Ariana,Autres villes,5.544068044350276
Appartements,1.0,1.0,45.0,À Vendre,145000.0,Ariana,Sidi Thabet,5.161368002234975
Appartements,1.0,1.0,68.0,À Vendre,170000.0,Ariana,Ennasr,5.230448921378274
Appartements,1.0,1.0,67.0,À Vendre,178000.0,Ariana,Ennasr,5.250420002308894
Appartements,4.0,3.0,167.0,À Vendre,370000.0,Ariana,Ennasr,5.568201724066995
Appartements,3.0,1.0,98.0,À Vendre,200000.0,Ariana,Borj Louzir,5.301029995663981
Appartements,2.0,2.0,116.0,À Vendre,160000.0,Ariana,Chotrana,5.204119982655925
Appartements,2.0,2.0,140.0,À Vendre,180000.0,Ariana,Borj Louzir,5.2552725051033065
Appartements,2.0,1.0,75.0,À Vendre,190000.0,Ariana,Ennasr,5.278753600952829
Appartements,3.0,3.0,191.0,À Vendre,529000.0,Ariana,La Soukra,5.723455672035186
Appartements,3.0,1.0,178.0,À Vendre,369510.0,Ariana,Ennasr,5.5676261961437055
Appartements,4.0,1.0,105.0,À Vendre,180000.0,Ariana,Borj Louzir,5.2552725051033065
Appartements,2.0,1.0,115.0,À Vendre,255000.0,Ariana,Ennasr,5.406540180433956
Appartements,4.0,1.0,110.0,À Vendre,220000.0,Ariana,La Soukra,5.342422680822207
Appartements,2.0,1.0,80.0,À Vendre,120000.0,Ariana,Borj Louzir,5.079181246047625
Appartements,3.0,2.0,112.0,À Vendre,260000.0,Ariana,Ennasr,5.414973347970818
Appartements,2.0,1.0,124.0,À Vendre,265000.0,Ariana,Jardins D'el Menzah,5.423245873936808
Appartements,3.0,2.0,122.0,À Vendre,280000.0,Ariana,La Soukra,5.447158031342219
Appartements,2.0,1.0,65.0,À Vendre,140000.0,Ariana,Ghazela,5.146128035678238
Appartements,4.0,3.0,163.0,À Vendre,360000.0,Ariana,Ennasr,5.556302500767287
Appartements,3.0,1.0,105.0,À Vendre,158000.0,Ariana,Borj Louzir,5.198657086954422
Appartements,4.0,2.0,307.0,À Vendre,1300000.0,Ariana,La Soukra,6.113943352306837
Appartements,3.0,1.0,90.0,À Vendre,160000.0,Ariana,Jardins D'el Menzah,5.204119982655925
Appartements,4.0,3.0,150.0,À Vendre,350000.0,Ariana,La Soukra,5.544068044350276
Appartements,2.0,1.0,110.0,À Vendre,250000.0,Ariana,Ghazela,5.3979400086720375
Appartements,2.0,1.0,90.0,À Vendre,200000.0,Ariana,Ariana Ville,5.301029995663981
Appartements,2.0,2.0,110.0,À Vendre,220000.0,Ariana,Ariana,5.342422680822207
Appartements,2.0,1.0,128.0,À Vendre,237000.0,Ariana,La Soukra,5.374748346010104
Appartements,2.0,1.0,107.0,À Vendre,220000.0,Ariana,La Soukra,5.342422680822207
Appartements,2.0,2.0,132.0,À Vendre,300000.0,Ariana,La Soukra,5.477121254719663
Appartements,3.0,2.0,158.0,À Vendre,340000.0,Ariana,La Soukra,5.531478917042255
Appartements,4.0,3.0,174.0,À Vendre,500000.0,Ariana,La Soukra,5.698970004336019
Appartements,3.0,1.0,120.0,À Vendre,300000.0,Ariana,Ghazela,5.477121254719663
Appartements,2.0,2.0,122.0,À Vendre,268000.0,Ariana,La Soukra,5.4281347940287885
Appartements,3.0,1.0,100.0,À Vendre,230000.0,Ariana,Ennasr,5.361727836017593
Appartements,3.0,2.0,168.0,À Vendre,370000.0,Ariana,Autres villes,5.568201724066995
Appartements,1.0,1.0,67.0,À Vendre,179000.0,Ariana,Ennasr,5.252853030979893
Appartements,3.0,3.0,156.0,À Vendre,335000.0,Ariana,Ennasr,5.525044807036846
Appartements,3.0,3.0,199.0,À Vendre,410000.0,Ariana,Ennasr,5.612783856719736
Appartements,3.0,1.0,65.0,À Vendre,95000.0,Ariana,Ghazela,4.977723605288848
Appartements,2.0,1.0,76.0,À Vendre,115000.0,Ariana,Raoued,5.060697840353612
Appartements,3.0,2.0,188.0,À Vendre,760000.0,Ariana,Ennasr,5.880813592280791
Appartements,3.0,1.0,70.0,À Vendre,110000.0,Ariana,Ariana,5.041392685158225
Appartements,2.0,1.0,100.0,À Vendre,215000.0,Ariana,La Soukra,5.332438459915605
Appartements,1.0,1.0,70.0,À Vendre,123000.0,Ariana,Ariana,5.089905111439398
Appartements,1.0,1.0,55.0,À Vendre,125000.0,Ariana,Ghazela,5.096910013008056
Appartements,3.0,2.0,170.0,À Vendre,350000.0,Ariana,Ennasr,5.544068044350276
